plan_attributes_PUF-2
StandardComponentId,PlanMarketingName,URLForSummaryofBenefitsCoverage
30252FL0140017,BlueCare Bronze 24K02-17 (3 PCP Visits for $0 then $55 / $70 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K02-17.pdf
30252FL0140018,BlueCare Bronze 24K02-18 (Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K02-18.pdf
30252FL0140020,BlueCare Gold 24K02-20 ($0 Deductible / $15 PCP Visits / $75 Specialist Visits / $20 Labs / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K02-20.pdf
30252FL0140021,BlueCare Silver 24K02-21 ($10 Labs / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K02-21.pdf
30252FL0140023,BlueCare Bronze 24K02-23 ($50 PCP Visits / $75 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K02-23.pdf
30252FL0140025,BlueCare Bronze 24K01-25 ($50 PCP Visits / $75 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K01-25.pdf
30252FL0140026,BlueCare Bronze 24K02-26S ($50 PCP Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K02-26S.pdf
30252FL0140027,BlueCare Silver 24K02-27S ($40 PCP Visits / $80 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K02-27S.pdf
30252FL0140028,BlueCare Gold 24K02-28S ($30 PCP Visits / $60 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K02-28S.pdf
30252FL0140029,BlueCare Platinum 24K02-29S ($0 Deductible / $10 PCP Visits / $20 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K02-29S.pdf
30252FL0140031,BlueCare Bronze 24K01-31S ($50 PCP Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K01-31S.pdf
30252FL0140032,BlueCare Silver 24K01-32S ($40 PCP Visits / $80 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K01-32S.pdf
30252FL0140033,BlueCare Gold 24K01-33S ($30 PCP Visits / $60 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K01-33S.pdf
30252FL0140034,BlueCare Platinum 24K01-34S ($0 Deductible / $10 PCP Visits / $20 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K01-34S.pdf
30252FL0190003,myBlue Silver 2010V (Adult Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2010V.pdf
30252FL0190007,myBlue Silver 26M03-02V ($0 Primary Care Visits with Select Providers / $5 Labs / Adult Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/26M03-02V.pdf
30252FL0190008,myBlue Silver 26M02-04V ($5 PCP Visits / $5 Labs / Adult Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/26M02-04V.pdf
30252FL0190009,myBlue Bronze 2129V ($35 PCP Visits / $75 Specialist Visits / Adult Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2129V.pdf
30252FL0190010,myBlue Bronze 2149V ($35 PCP Visits / $75 Specialist Visits / Adult Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2149V.pdf
30252FL0190011,myBlue Silver 2237V ($60 PCP Visits / Adult Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2237V.pdf
30252FL0190012,myBlue Silver 26M06-03V ($5 PCP Visits / $5 Labs / Adult Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/26M06-03V.pdf
30252FL0190025,myBlue Silver 24M03-70V ($0 Primary Care Visits with Select Providers / Adult Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24M03-70V.pdf
30252FL0190028,myBlue Silver 24M02-78V ($50 PCP Visits / $20 Labs / Adult Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24M02-78V.pdf
30252FL0190030,myBlue Silver 24M06-76V ($50 PCP Visits / $15 Labs / Adult Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24M06-76V.pdf
30252FL0190032,myBlue Silver 25M03-01V ($0 Primary Care Visits with Select Providers / Adult Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/25M03-01V.pdf
30252FL0190033,myBlue Silver 25M06-02V ($0 Labs / $50 PCP Visits / Adult Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/25M06-02V.pdf
30252FL0190034,myBlue Silver 25M02-03V ($0 Labs / $50 PCP Visits / Adult Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/25M02-03V.pdf
30252FL0200003,myBlue Silver 2010E (Adult Dental & Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2010E.pdf
30252FL0200007,myBlue Silver 26M03-02E ($0 Primary Care Visits with Select Providers / $5 Labs / Adult Dental & Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/26M03-02E.pdf
30252FL0200008,myBlue Silver 26M02-04E ($5 PCP Visits / $5 Labs / Adult Dental & Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/26M02-04E.pdf
30252FL0200009,myBlue Bronze 2129E ($35 PCP Visits / $75 Specialist Visits / Adult Dental & Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2129E.pdf
30252FL0200010,myBlue Bronze 2149E ($35 PCP Visits / $75 Specialist Visits / Adult Dental & Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2149E.pdf
30252FL0200011,myBlue Silver 2237E ($60 PCP Visits / Adult Dental & Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2237E.pdf
30252FL0200012,myBlue Silver 26M06-03E ($5 PCP Visits / $5 Labs / Adult Dental & Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/26M06-03E.pdf
30252FL0200029,myBlue Silver 24M03-70E ($0 Primary Care Visits with Select Providers / Adult Dental & Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24M03-70E.pdf
30252FL0200032,myBlue Silver 24M02-78E ($50 PCP Visits / $20 Labs / Adult Dental & Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24M02-78E.pdf
30252FL0200034,myBlue Silver 24M06-76E ($50 PCP Visits / $15 Labs / Adult Dental & Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24M06-76E.pdf
30252FL0200036,myBlue Silver 25M03-01E ($0 Primary Care Visits with Select Providers / Adult Dental & Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/25M03-01E.pdf
30252FL0200037,myBlue Silver 25M06-02E ($0 Labs / $50 PCP Visits / Adult Dental & Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/25M06-02E.pdf
30252FL0200038,myBlue Silver 25M02-03E ($0 Labs / $50 PCP Visits / Adult Dental & Vision / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/25M02-03E.pdf
36194FL0160009,"Bronze 1826 ($0 Medical Deductible, $0 Primary Care Copay- Visits 1 & 2, Specialist & Urgent Care Copay, Open Access)",https://hf.widen.net/s/frkh2mggc9/sbc36194fl0160009-01-plan-1826.pdf
36194FL0160011,Bronze Standard 1828,https://hf.widen.net/s/t22r57j2vh/sbc36194fl0160011-01-plan-1828.pdf
36194FL0160012,Silver Standard 1829,https://hf.widen.net/s/hf8cx6tbsv/sbc36194fl0160012-01-plan-1829.pdf
36194FL0160013,Gold Standard 1833,https://hf.widen.net/s/tch5zbdpd7/sbc36194fl0160013-01-plan-1833.pdf
36194FL0410001,"Bronze Value 1814 (High Value Network Savings, Open Access)",https://hf.widen.net/s/xxppfmwclb/sbc36194fl0410001-01-plan-1814.pdf
36194FL0410002,"Silver Value 1815 ($25 Tier 1 Primary Care Copay, Specialist & Urgent Care Copays, High Value Network Savings)",https://hf.widen.net/s/k2wmdxl7cm/sbc36194fl0410002-01-plan-1815.pdf
36194FL0410003,"Gold Value 1819 ($2,200 Tier 1 Medical Deductible, High Value Network Savings, Open Access)",https://hf.widen.net/s/q5ljmtpvkg/sbc36194fl0410003-01-plan-1819.pdf
36194FL0440001,"Bronze Savings 1820 (Primary Care Copay Visits 1-5, Open Access)",https://hf.widen.net/s/lxgm2nfmzw/sbc36194fl0440001-01-plan-1820.pdf
36194FL0440002,"Silver Savings 1821 (Primary Care Copay, Open Access)",https://hf.widen.net/s/shxbjvltxk/sbc36194fl0440002-01-plan-1821.pdf
36194FL0440003,"Gold Savings 1825 ($25 Primary Care Copay, $50 Specialist Copay, Open Access)",https://hf.widen.net/s/kwbgjkjdwp/sbc36194fl0440003-01-plan-1825.pdf
36194FL0450001,"Silver 1664 (Primary Care & Specialist Copays, Open Access)",https://hf.widen.net/s/2tfbfcppxk/sbc36194fl0450001-01-plan-1664.pdf
36194FL0450002,"Gold 1742 (Emergency Room & Inpatient Hospitalization Copay, $0 Outpatient Labs, $0 MRI, Open Access)",https://hf.widen.net/s/zxmc9lzhnz/sbc36194fl0450002-01-plan-1742.pdf
36194FL0450003,"Catastrophic 1746 (Primary Care Copay Visits 1-3, Open Access)",https://hf.widen.net/s/sz9nlsdxlh/sbc36194fl0450003-01-plan-1746.pdf
36194FL0460001,"Silver 1664 + Adult Dental + Adult Vision (Primary Care & Specialist Copays, Open Access)",https://hf.widen.net/s/kdplxjxpps/sbc36194fl0460001-01-plan-1664-adult-dental--vision.pdf
36194FL0460002,"Gold 1742 + Adult Dental + Adult Vision (Emergency Room & Inpatient Hospitalization Copay, $0 Outpatient Labs, $0 MRI, Open Access)",https://hf.widen.net/s/hlsbvz65gw/sbc36194fl0460002-01-plan-1742-adult-dental--vision.pdf
36194FL0460003,"Bronze 1826 + Adult Dental + Adult Vision ($0 Medical Deductible, $0 Primary Care Copay- Visits 1 & 2, Specialist & Urgent Care Copay, Open Access)",https://hf.widen.net/s/mcvcrq7spj/sbc36194fl0460003-01-plan-1826-adult-dental--vision.pdf
36194FL0470001,"Bronze Value 1814 + Adult Dental + Adult Vision (High Value Network Savings, Open Access)",https://hf.widen.net/s/vl7x5xrdp8/sbc36194fl0470001-01-plan-1814-adult-dental--vision.pdf
36194FL0470002,"Silver Value 1815 + Adult Dental + Adult Vision ($25 Tier 1 Primary Care Copay, Specialist & Urgent Care Copays, High Value Network Savings)",https://hf.widen.net/s/bhflltcqzs/sbc36194fl0470002-01-plan-1815-adult-dental--vision.pdf
36194FL0470003,"Gold Value 1819 + Adult Dental + Adult Vision ($2,200 Tier 1 Medical Deductible, High Value Network Savings, Open Access)",https://hf.widen.net/s/mshc7qxm5l/sbc36194fl0470003-01-plan-1819-adult-dental--vision.pdf
36194FL0480001,"Bronze Savings 1820 + Adult Dental + Adult Vision (Primary Care Copay Visits 1-5, Open Access)",https://hf.widen.net/s/8fcgbrrnrq/sbc36194fl0480001-01-plan-1820-adult-dental--vision.pdf
36194FL0480002,"Silver Savings 1821 + Adult Dental + Adult Vision (Primary Care Copay, Open Access)",https://hf.widen.net/s/8576wlc2x9/sbc36194fl0480002-01-plan-1821-adult-dental--vision.pdf
36194FL0480003,"Gold Savings 1825 + Adult Dental + Adult Vision ($25 Primary Care Copay, $50 Specialist Copay, Open Access)",https://hf.widen.net/s/qgrgzxb7pp/sbc36194fl0480003-01-plan-1825-adult-dental--vision.pdf
36194FL0500001,"Silver Value 1815 + Enhanced Diabetes Benefits ($25 Tier 1 Primary Care Copay, Specialist & Urgent Care Copays, High Value Network Savings)",https://hf.widen.net/s/scrdvfzjtw/sbc36194fl0500001-01-plan-1815--enhanced-diabetes-benefits.pdf
36194FL0500002,"Gold Value 1819 + Enhanced Diabetes Benefits ($2,200 Tier 1 Medical Deductible, High Value Network Savings, Open Access)",https://hf.widen.net/s/jzpjsgdr2r/sbc36194fl0500002-01-plan-1819--enhanced-diabetes-benefits.pdf
44228FL0040001,Wellpoint Essential Bronze 7500 ($0 Virtual PCP + $0 Select Drugs + Incentives) Standard,https://sbc.wellpoint.com/dpsdeeplink/deepLink/WellpointEssentialBronze75000VirtualPCP0SelectDrugsIncentivesStandard/97T6/English/DG166708944209.pdf
44228FL0040002,Wellpoint Essential Silver 6000 ($0 Virtual PCP + $0 Select Drugs + Incentives) Standard,https://sbc.wellpoint.com/dpsdeeplink/deepLink/WellpointEssentialSilver60000VirtualPCP0SelectDrugsIncentivesStandard/97TN/English/DG166708944639.pdf
44228FL0040003,Wellpoint Essential Gold 2000 ($0 Virtual PCP + $0 Select Drugs + Incentives) Standard,https://sbc.wellpoint.com/dpsdeeplink/deepLink/WellpointEssentialGold20000VirtualPCP0SelectDrugsIncentivesStandard/97T3/English/DG166708943964.pdf
44228FL0040004,Wellpoint Essential Catastrophic (+ Incentives),https://sbc.wellpoint.com/dpsdeeplink/deepLink/WellpointEssentialCatastrophicIncentives/97TV/English/DG166708944637.pdf
44228FL0040005,Wellpoint Essential Bronze 6000 ($0 Virtual PCP + $0 Select Drugs + Incentives),https://sbc.wellpoint.com/dpsdeeplink/deepLink/WellpointEssentialBronze60000VirtualPCP0SelectDrugsIncentives/932P/English/DG166708945216.pdf
44228FL0040007,Wellpoint Essential Bronze 5500 Adult Dental/Vision ($0 Virtual PCP + $0 Select Drugs + Incentives),https://sbc.wellpoint.com/dpsdeeplink/deepLink/WellpointEssentialBronze5500AdultDentalVision0VirtualPCP0SelectDrugsIncentives/97TX/English/DG166708945002.pdf
44228FL0040008,Wellpoint Essential Bronze 5500 ($0 Virtual PCP + $0 Select Drugs + Incentives),https://sbc.wellpoint.com/dpsdeeplink/deepLink/WellpointEssentialBronze55000VirtualPCP0SelectDrugsIncentives/932G/English/DG166708944522.pdf
44228FL0040009,Wellpoint Essential Gold 1400 ($0 Virtual PCP + $0 Select Drugs + Incentives),https://sbc.wellpoint.com/dpsdeeplink/deepLink/WellpointEssentialGold14000VirtualPCP0SelectDrugsIncentives/97TK/English/DG166708944641.pdf
44228FL0040010,Wellpoint Essential Gold 800 ($0 Virtual PCP + $0 Select Drugs + Incentives),https://sbc.wellpoint.com/dpsdeeplink/deepLink/WellpointEssentialGold8000VirtualPCP0SelectDrugsIncentives/97TA/English/DG166708943739.pdf
44228FL0040011,Wellpoint Essential Silver 1850 ($0 Virtual PCP + $0 Select Drugs + Incentives),https://sbc.wellpoint.com/dpsdeeplink/deepLink/WellpointEssentialSilver18500VirtualPCP0SelectDrugsIncentives/932U/English/DG166708944635.pdf
44228FL0040012,Wellpoint Essential Silver 3500 ($0 Virtual PCP + $0 Select Drugs + Incentives),https://sbc.wellpoint.com/dpsdeeplink/deepLink/WellpointEssentialSilver35000VirtualPCP0SelectDrugsIncentives/932T/English/DG166708943920.pdf
44228FL0040013,Wellpoint Essential Silver 3500 Adult Dental/Vision ($0 Virtual PCP + $0 Select Drugs + Incentives),https://sbc.wellpoint.com/dpsdeeplink/deepLink/WellpointEssentialSilver3500AdultDentalVision0VirtualPCP0SelectDrugsIncentives/97U7/English/DG166708944212.pdf
44228FL0040014,Wellpoint Essential Gold 800 Adult Dental/Vision ($0 Virtual PCP + $0 Select Drugs + Incentives),https://sbc.wellpoint.com/dpsdeeplink/deepLink/WellpointEssentialGold800AdultDentalVision0VirtualPCP0SelectDrugsIncentives/97U1/English/DG166708944663.pdf
48121FL0070029,Connect Silver Mid-South 3800 Indiv Med Deductible,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-s-48121fl0070029-00-01.pdf
48121FL0070030,Connect Silver Mid-South 4500 Indiv Med Deductible,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-s-48121fl0070030-00-01.pdf
48121FL0070033,Connect Gold Mid-South 2250 Indiv Med Deductible,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-g-48121fl0070033-00-01.pdf
48121FL0070051,Connect myDiabetesCare Bronze Mid-South,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-b-48121fl0070051-00-01.pdf
48121FL0070057,Connect Gold Mid-South 850 Indiv Med Deductible,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-g-48121fl0070057-00-01.pdf
48121FL0070104,Connect Gold Mid-South CMS Standard,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-g-48121fl0070104-00-01.pdf
48121FL0070105,Connect Silver Mid-South CMS Standard,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-s-48121fl0070105-00-01.pdf
48121FL0070107,Connect Bronze Mid-South CMS Standard,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-b-48121fl0070107-00-01.pdf
48121FL0070108,Connect Bronze Mid-South 0 Indiv Med Deductible,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-b-48121fl0070108-00-01.pdf
48121FL0070122,Connect Bronze Mid-South 5500 Indiv Med Deductible,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-b-48121fl0070122-00-01.pdf
48121FL0070127,Connect Silver South FL 4500 Indiv Med Deductible,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-s-48121fl0070127-00-01.pdf
48121FL0070128,Connect Silver South FL 2850 Indiv Med Deductible,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-s-48121fl0070128-00-01.pdf
48121FL0070129,Connect Bronze South FL 3800 Indiv Med Deductible,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-b-48121fl0070129-00-01.pdf
48121FL0070130,Connect Bronze South FL 7000 Indiv Med Deductible,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-b-48121fl0070130-00-01.pdf
48121FL0070131,Connect Gold South FL 1500 Indiv Med Deductible,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-g-48121fl0070131-00-01.pdf
48121FL0070135,Connect Silver South FL CMS Standard,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-s-48121fl0070135-00-01.pdf
48121FL0070136,Connect Bronze South FL CMS Standard,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-b-48121fl0070136-00-01.pdf
48121FL0070137,Connect Gold South FL CMS Standard,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-g-48121fl0070137-00-01.pdf
48121FL0070138,Connect Silver Orlando 5000 Indiv Med Deductible,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-s-48121fl0070138-00-01.pdf
48121FL0070139,Connect Silver Orlando 3500 Indiv Med Deductible,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-s-48121fl0070139-00-01.pdf
48121FL0070140,Connect Bronze Orlando 3000 Indiv Med Deductible,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-b-48121fl0070140-00-01.pdf
48121FL0070141,Connect Bronze Orlando 6000 Indiv Med Deductible,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-b-48121fl0070141-00-01.pdf
48121FL0070142,Connect Gold Orlando 1500 Indiv Med Deductible,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-g-48121fl0070142-00-01.pdf
48121FL0070145,Connect Bronze Orlando CMS Standard,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-b-48121fl0070145-00-01.pdf
48121FL0070146,Connect Silver Orlando CMS Standard,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-s-48121fl0070146-00-01.pdf
48121FL0070147,Connect Gold Orlando CMS Standard,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-26-sbc-fl-connect-0zcs-cms-02.pdf
49004FL0010010,Everyday Gold,https://api.centene.com/SBC/2026/49004FL0010010-00.pdf
49004FL0010031,Clarity Silver,https://api.centene.com/SBC/2026/49004FL0010031-00.pdf
49004FL0010032,Thrive Silver,https://api.centene.com/SBC/2026/49004FL0010032-00.pdf
49004FL0020009,Everyday Gold + Vision + Adult Dental,https://api.centene.com/SBC/2026/49004FL0020009-00.pdf
54172FL0010001,Molina Gold Core 1640,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_G1_1.pdf
54172FL0010002,Molina Silver Core,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_S1_1.pdf
54172FL0010008,Molina Gold Standard,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_G8_1.pdf
54172FL0010009,Molina Silver Standard,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_S8_1.pdf
54172FL0010010,Molina Bronze Standard,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_B8_1.pdf
54172FL0010011,Molina Silver Saver with Four Free PCP Visits,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_S12_1.pdf
54172FL0010012,Molina Gold Enhanced 895,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_G9_1.pdf
54172FL0010013,Molina Bronze Enhanced 3500,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_B10_1.pdf
54172FL0010020,Molina Bronze Premier with $0 Medical Deductible,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_B4_1.pdf
54172FL0040001,Molina Gold Core 1640 Plus with Adult Vision,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_G1V_1.pdf
54172FL0040002,Molina Silver Core Plus with Adult Vision,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_S1V_1.pdf
54172FL0040004,Molina Gold Enhanced 895 Plus with Adult Vision,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_G9V_1.pdf
54172FL0040005,Molina Bronze Enhanced 3500 Plus with Adult Vision,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_B10V_1.pdf
54172FL0040012,Molina Bronze Premier with $0 Medical Deductible Plus with Adult Vision,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_B4V_1.pdf
54172FL0060002,Molina Silver Access,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_S9_1.pdf
54172FL0070001,Molina Gold Core 1640 Plus with Adult Dental and Vision,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_G1DV_1.pdf
54172FL0070002,Molina Silver Core Plus with Adult Dental and Vision,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_S1DV_1.pdf
54172FL0070003,Molina Bronze Premier with $0 Medical Deductible Plus with Adult Dental and Vision,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_B4DV_1.pdf
54172FL0070004,Molina Gold Enhanced 895 Plus with Adult Dental and Vision,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_G9DV_1.pdf
54172FL0070005,Molina Bronze Enhanced 3500 Plus with Adult Dental and Vision,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_B10DV_1.pdf
54172FL0080001,Molina Silver Access Plus with Adult Vision,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_S9V_1.pdf
54172FL0090001,Molina Silver Access Plus with Adult Dental and Vision,https://www.molinamarketplace.com/members/fl/en-US/PDF/Marketplace/2026/FL26SBCE_S9DV_1.pdf
56503FL2010001,Gym Access IND Gold POS 55001,http://www.fhcp.com/documents/ISBC/2026/56503FL2010001-00.pdf
56503FL2090002,Gym Access IND Gold HMO 4500,http://www.fhcp.com/documents/ISBC/2026/56503FL2090002-00.pdf
56503FL2540002,Gym Access IND Bronze POS BC 3841,http://www.fhcp.com/documents/ISBC/2026/56503FL2540002-00.pdf
56503FL2550002,Gym Access IND Silver HMO BC 0941,http://www.fhcp.com/documents/ISBC/2026/56503FL2550002-00.pdf
56503FL2560002,Gym Access IND Silver POS BC 0941,http://www.fhcp.com/documents/ISBC/2026/56503FL2560002-00.pdf
56503FL2570001,Gym Access IND Silver HMO BC 7741,http://www.fhcp.com/documents/ISBC/2026/56503FL2570001-00.pdf
56503FL2580002,Gym Access IND Silver POS BC 7741,http://www.fhcp.com/documents/ISBC/2026/56503FL2580002-00.pdf
56503FL2590002,Gym Access IND Gold HMO BC 5651,http://www.fhcp.com/documents/ISBC/2026/56503FL2590002-00.pdf
56503FL2600002,Gym Access IND Gold POS BC 5651,http://www.fhcp.com/documents/ISBC/2026/56503FL2600002-00.pdf
56503FL2670001,Gym Access IND Bronze Standardized HMO,http://www.fhcp.com/documents/ISBC/2026/56503FL2670001-00.pdf
56503FL2730001,Gym Access IND Bronze HMO 1340,http://www.fhcp.com/documents/ISBC/2026/56503FL2730001-00.pdf
56503FL2790001,Gym Access IND Bronze POS 1042,http://www.fhcp.com/documents/ISBC/2026/56503FL2790001-00.pdf
56503FL2860001,Gym Access IND Gold HMO H.S.A 9010,http://www.fhcp.com/documents/ISBC/2026/56503FL2860001-00.pdf
56503FL2930001,Gym Access IND Bronze HMO OA 1211,http://www.fhcp.com/documents/ISBC/2026/56503FL2930001-00.pdf
56503FL2940001,Gym Access IND Silver HMO OA 1009,http://www.fhcp.com/documents/ISBC/2026/56503FL2940001-00.pdf
56503FL3040001,Gym Access IND Bronze HMO OA Standard 2450,http://www.fhcp.com/documents/ISBC/2026/56503FL3040001-00.pdf
56503FL3050001,Gym Access IND Silver HMO OA Standard 1440,http://www.fhcp.com/documents/ISBC/2026/56503FL3050001-00.pdf
56503FL3060001,Gym Access IND Gold HMO OA Standard 3450,http://www.fhcp.com/documents/ISBC/2026/56503FL3060001-00.pdf
56503FL3290001,Gym Access IND Bronze POS OA Standard 2450,http://www.fhcp.com/documents/ISBC/2026/56503FL3290001-00.pdf
56503FL3300001,Gym Access IND Silver POS OA Standard 1440,http://www.fhcp.com/documents/ISBC/2026/56503FL3300001-00.pdf
56503FL3310001,Gym Access IND Gold POS OA Standard 3450,http://www.fhcp.com/documents/ISBC/2026/56503FL3310001-00.pdf
56503FL3340001,Gym Access IND Bronze POS OA 1211,http://www.fhcp.com/documents/ISBC/2026/56503FL3340001-00.pdf
56503FL3370001,Gym Access IND Silver POS OA 1009,http://www.fhcp.com/documents/ISBC/2026/56503FL3370001-00.pdf
66966FL0050002,Capital Health Plan HMO Silver 2100,https://capitalhealth.com/wp-content/uploads/2025/09/Silver-2100-OffEx-2026.pdf
66966FL0050003,Capital Health Plan HMO Gold 3000,https://capitalhealth.com/wp-content/uploads/2025/09/Gold-3000-OffEx-2026.pdf
66966FL0050005,Capital Health Plan HMO Bronze 1000,https://capitalhealth.com/wp-content/uploads/2025/09/Bronze-1000-OffEx-2026.pdf
66966FL0050006,Capital Health Plan HMO Silver 2300,https://capitalhealth.com/wp-content/uploads/2025/09/Silver-2300-OffEx-2026.pdf
66966FL0050007,Capital Health Plan HMO Gold 3100,https://capitalhealth.com/wp-content/uploads/2025/09/Gold-3100-OffEx-2026.pdf
66966FL0050008,Capital Health Plan HMO Platinum 4000,https://capitalhealth.com/wp-content/uploads/2025/09/Platinum-4000-OffEx-2026.pdf
